Term,UMLS_CUI,SemanticTypes,SemanticTypesCode
سر هومروس چپ,C0507143,"Body Part, Organ, or Organ Component",23
سیستم ادراری,C1508753,Body System,22
سیستم استخوانی,C0037253,Body System,22
سیستم استخوانی توراکس,C0222762,"Body Part, Organ, or Organ Component",23
شانه,C0037004,Body Location or Region,29
شکم,C0000726,Body Location or Region,29
فقرات,C0037949,"Body Part, Organ, or Organ Component",23
فقرات پشتی,C0581269,"Body Part, Organ, or Organ Component",23
فقرات توراسیک,C0581269,"Body Part, Organ, or Organ Component",23
فقرات لومبار,C3887615,Body Location or Region,29
فمور,C0015811,"Body Part, Organ, or Organ Component",23
فمور راست,C0817319,"Body Part, Organ, or Organ Component",23
فیبولا,C0016068,"Body Part, Organ, or Organ Component",23
فیبولای چپ,C0817324,"Body Part, Organ, or Organ Component",23
فیبولای راست,C5439274,"Body Part, Organ, or Organ Component",23
فیلد ریه,C0225759,Body Location or Region,29
قسمت میانی دیافیز فیبولای راست,C4246597,Body Location or Region,29
قلب,C0018787,"Body Part, Organ, or Organ Component",23
قوس آئورت,C0003489,"Body Part, Organ, or Organ Component",23
لگن خاصره,C0030797,"Body Part, Organ, or Organ Component",23
لنف نود,C0024204,"Body Part, Organ, or Organ Component",23
لوب تیروئید,C0447647,"Body Part, Organ, or Organ Component",23
متاکارپ,C3714598,Body Location or Region,29
مچ پا,C0003086,Body Location or Region,29
مچ پای,C0003086,Body Location or Region,29
مچ پای چپ,C0230446,Body Location or Region,29
مچ پای راست,C0230447,Body Location or Region,29
مچ دست,C0043260,Body Location or Region,29
مچ دست راست,C0043261,Body Location or Region,29
مچ دست چپ,C0043262,Body Location or Region,29
مدیاستن,C0025066,Body Location or Region,29
مفصل,C0022417,Body Space or Junction,30
مفاصل,C0022417,Body Space or Junction,30
مفاصل IP,C1563055,"Body Part, Organ, or Organ Component",23
مفصل آرنج,C0013770,Body Space or Junction,30
مفصل آرنج راست,C1268257,"Body Part, Organ, or Organ Component",23
مفصل آرنج چپ,C1268258,"Body Part, Organ, or Organ Component",23
مفصل آکرمیوکلاویکولار,C0001208,Body Space or Junction,30
مفصل آکرومیوکلاویکولار,C0001208,Body Space or Junction,30
مفصل زانو,C0022745,Body Space or Junction,30
مفصل زانوی چپ,C0827003,Body Space or Junction,30
مفصل زانوی راست,C0827004,Body Space or Junction,30
میانه دیافیز تیبیا,C4321980,Body Location or Region,29
میانی تیبیا,C0459095,Body Location or Region,29
میدان ریه,C0225759,Body Location or Region,29
هومروس,C0020164,"Body Part, Organ, or Organ Component",23
هومروس چپ,C0816323,"Body Part, Organ, or Organ Component",23
هومروس راست,C0816322,"Body Part, Organ, or Organ Component",23
کف پا,C0025590,Body Location or Region,29
کف دست,C3714598,Body Location or Region,29
کلاویکل,C1279070,"Body Part, Organ, or Organ Component",23
کلاویکل چپ,C0507155,"Body Part, Organ, or Organ Component",23
کلاویکل راست,C0507156,"Body Part, Organ, or Organ Component",23
1/3 میانی هومروس,C0448039,Body Location or Region,29
1/3 دیستال هومروس,C0448040,"Body Part, Organ, or Organ Component",23
یک سوم دیستال هومروس,C0448040,"Body Part, Organ, or Organ Component",23
یک سوم میانی هومروس,C0448039,Body Location or Region,29
عروق,C11448040,"Body Part, Organ, or Organ Component",23
رگ,C11448040,"Body Part, Organ, or Organ Component",23
رگ ها,C11448040,"Body Part, Organ, or Organ Component",23
روده,C11448042,"Body Part, Organ, or Organ Component",23
ریه,C11448043,"Body Part, Organ, or Organ Component",23
فقرات,C11448044,"Body Part, Organ, or Organ Component",23
ستون فقرات,C11448044,"Body Part, Organ, or Organ Component",23
لنفوسیت,C11448046,"Body Part, Organ, or Organ Component",23
لنفوسی,C11448046,"Body Part, Organ, or Organ Component",23
لنفاوی,C11448046,"Body Part, Organ, or Organ Component",23
جمجمه,C11448049,"Body Part, Organ, or Organ Component",23
گیجگاه,C11448049,"Body Part, Organ, or Organ Component",23
نشیمنگاه,C11448051,"Body Part, Organ, or Organ Component",23
کتف,C11448052,"Body Part, Organ, or Organ Component",23
اسکاپولا,C11448053,"Body Part, Organ, or Organ Component",23
بینی,C11448054,"Body Part, Organ, or Organ Component",23
ران,C11448055,"Body Part, Organ, or Organ Component",23
توبروزیتی رادیال,C11448057,"Body Part, Organ, or Organ Component",23
توبروزیته,C11448057,"Body Part, Organ, or Organ Component",23
توبروزیتی,C11448057,"Body Part, Organ, or Organ Component",23
توبروزیته ی بزرگ,C11448057,"Body Part, Organ, or Organ Component",23
عروق اندام,,,
اولنا,,,
